CANCER_CrudePrev	STROKE_CrudePrev	CHD_CrudePrev	stateabbr	placename	Geolocation	fips_place_tract
5.5	5.1	7.8	AL	Birmingham	(33.5794328326, -86.7228323926)	0107000-01073000100
5.0	5.3	8.0	AL	Birmingham	(33.5428208686, -86.752433978)	0107000-01073000300
5.6	6.5	9.1	AL	Birmingham	(33.5632449633, -86.7640474064)	0107000-01073000400
6.1	8.0	10.8	AL	Birmingham	(33.5442404594, -86.7749130719)	0107000-01073000500
6.0	8.8	11.2	AL	Birmingham	(33.5525406139, -86.8016893706)	0107000-01073000700
7.0	7.5	10.8	AL	Birmingham	(33.549697789, -86.8330944744)	0107000-01073000800
6.9	5.6	8.3	AL	Birmingham	(33.5429143325, -86.8756782852)	0107000-01073001100
6.8	7.3	10.3	AL	Birmingham	(33.5278767706, -86.8604161686)	0107000-01073001200
7.3	7.6	10.9	AL	Birmingham	(33.5261497258, -86.835146606)	0107000-01073001400
5.8	7.2	10.0	AL	Birmingham	(33.5298727342, -86.8197191685)	0107000-01073001500
6.9	8.4	11.7	AL	Birmingham	(33.5372993423, -86.8036590482)	0107000-01073001600
5.5	6.3	8.9	AL	Birmingham	(33.5532050997, -86.7429801603)	0107000-01073001902
6.2	6.0	8.7	AL	Birmingham	(33.5541574106, -86.7167229915)	0107000-01073002000
5.9	4.9	7.6	AL	Birmingham	(33.5650015942, -86.7101024766)	0107000-01073002100
5.6	5.5	7.9	AL	Birmingham	(33.5521301205, -86.7276759508)	0107000-01073002200
5.2	6.3	8.2	AL	Birmingham	(33.5383153207, -86.7270445428)	0107000-01073002303
5.6	2.1	4.2	AL	Birmingham	(33.5333415976, -86.7479566084)	0107000-01073002305
7.7	2.7	6.2	AL	Birmingham	(33.5213873564, -86.7490031289)	0107000-01073002306
5.2	5.0	7.4	AL	Birmingham	(33.5260748309, -86.7830315488)	0107000-01073002400
4.9	4.4	7.0	AL	Birmingham	(33.5176008419, -86.8106887452)	0107000-01073002700
6.6	8.1	11.0	AL	Birmingham	(33.5132498864, -86.83004749)	0107000-01073002900
4.8	3.5	5.5	AL	Birmingham	(33.5125158094, -86.8577164946)	0107000-01073003001
7.1	8.9	11.6	AL	Birmingham	(33.512258109, -86.8441439907)	0107000-01073003002
5.7	5.9	8.4	AL	Birmingham	(33.5059655756, -86.8745506086)	0107000-01073003100
6.2	8.3	10.7	AL	Birmingham	(33.5094018502, -86.8859081961)	0107000-01073003200
7.0	8.5	11.7	AL	Birmingham	(33.5171261108, -86.8913819749)	0107000-01073003300
5.7	6.7	9.1	AL	Birmingham	(33.5052229234, -86.9014844656)	0107000-01073003400
5.6	5.7	8.2	AL	Birmingham	(33.5065714011, -86.9195910063)	0107000-01073003500
6.7	5.0	7.6	AL	Birmingham	(33.48476397, -86.8981392947)	0107000-01073003600
5.3	5.0	7.0	AL	Birmingham	(33.4969018589, -86.8907729426)	0107000-01073003700
5.7	5.2	7.5	AL	Birmingham	(33.4785707794, -86.890000907)	0107000-01073003802
6.2	6.6	9.1	AL	Birmingham	(33.485945214, -86.869692186)	0107000-01073003803
5.0	6.4	8.5	AL	Birmingham	(33.4989959327, -86.8647600038)	0107000-01073003900
6.3	7.4	10.2	AL	Birmingham	(33.4953246015, -86.8516232073)	0107000-01073004000
6.3	6.6	9.6	AL	Birmingham	(33.5007439361, -86.8270720379)	0107000-01073004200
2.4	2.0	3.2	AL	Birmingham	(33.5041857556, -86.8033798346)	0107000-01073004500
6.7	2.6	5.8	AL	Birmingham	(33.5075242148, -86.7836675838)	0107000-01073004701
7.8	2.3	5.9	AL	Birmingham	(33.5119902661, -86.7694550989)	0107000-01073004702
8.6	2.9	7.2	AL	Birmingham	(33.4989064008, -86.78269914)	0107000-01073004800
5.9	2.2	5.0	AL	Birmingham	(33.4971595645, -86.7917440668)	0107000-01073004901
3.9	2.0	3.8	AL	Birmingham	(33.4935824043, -86.8009294603)	0107000-01073004902
4.3	2.2	4.4	AL	Birmingham	(33.4866689795, -86.8173262831)	0107000-01073005000
5.5	7.6	9.7	AL	Birmingham	(33.4945909008, -86.834763936)	0107000-01073005101
8.7	7.6	11.2	AL	Birmingham	(33.485714885, -86.8327817467)	0107000-01073005103
3.0	2.7	3.8	AL	Birmingham	(33.4749941816, -86.8335421747)	0107000-01073005104
7.1	7.0	9.9	AL	Birmingham	(33.4806708775, -86.8508671514)	0107000-01073005200
8.2	4.0	8.1	AL	Birmingham	(33.5766456449, -86.6965590316)	0107000-01073005302
6.3	7.2	10.1	AL	Birmingham	(33.5670293898, -86.8005567213)	0107000-01073005500
9.8	4.0	8.8	AL	Birmingham	(33.5200981234, -86.7272063198)	0107000-01073005600
6.7	6.5	9.1	AL	Birmingham	(33.4629543329, -86.8898406628)	0107000-01073005701
7.4	7.3	10.4	AL	Birmingham	(33.4698691385, -86.874290602)	0107000-01073005702
3.9	2.5	4.4	AL	Birmingham	(33.479062325, -86.8128063089)	0107000-01073005800
7.7	4.1	7.9	AL	Birmingham	(33.597162309, -86.6766736351)	0107000-01073005903
6.9	5.0	8.6	AL	Birmingham	(33.603988456, -86.7008123418)	0107000-01073005905
7.3	3.6	7.0	AL	Birmingham	(33.6142861501, -86.6691996417)	0107000-01073005907
6.8	4.5	7.9	AL	Birmingham	(33.6182924432, -86.6801483084)	0107000-01073005908
5.8	3.6	5.8	AL	Birmingham	(33.611811773, -86.7214221514)	0107000-01073005909
5.4	3.8	5.9	AL	Birmingham	(33.6299017499, -86.7194311229)	0107000-01073005910
7.4	7.8	11.0	AL	Birmingham	(33.4363786806, -86.9128923072)	0107000-01073010500
3.0	1.6	2.4	AL	Birmingham	(33.473886155, -86.8146487762)	0107000-01073010701
4.0	1.8	3.6	AL	Birmingham	(33.4443709442, -86.8405352645)	0107000-01073010706
8.0	2.2	5.1	AL	Birmingham	(33.514097853, -86.7466971362)	0107000-01073010801
11.8	2.8	7.7	AL	Birmingham	(33.4885493477, -86.780843024)	0107000-01073010802
6.1	2.5	5.0	AL	Birmingham	(33.5229093892, -86.7102618642)	0107000-01073010803
8.4	4.1	7.1	AL	Birmingham	(33.4952792472, -86.6987184974)	0107000-01073010805
6.7	3.5	6.6	AL	Birmingham	(33.6159436433, -86.6557892507)	0107000-01073011104
4.8	3.1	4.9	AL	Birmingham	(33.6718848706, -86.6772510465)	0107000-01073011207
4.8	3.8	5.8	AL	Birmingham	(33.6557189992, -86.7050698349)	0107000-01073011209
3.8	2.8	3.6	AL	Birmingham	(33.6641893755, -86.6956170686)	0107000-01073011210
5.5	3.5	5.6	AL	Birmingham	(33.6252575173, -86.6998610409)	0107000-01073011803
4.7	3.6	5.3	AL	Birmingham	(33.6474916175, -86.7042974424)	0107000-01073011804
7.3	5.5	8.6	AL	Birmingham	(33.593140185, -86.7357930541)	0107000-01073011904
11.6	7.6	12.3	AL	Birmingham	(33.5919486112, -86.864384068)	0107000-01073012001
6.2	2.5	5.6	AL	Birmingham	(33.5542816352, -87.0544691416)	0107000-01073012302
6.2	4.1	6.4	AL	Birmingham	(33.4695358064, -86.96831739)	0107000-01073012305
5.6	3.6	5.5	AL	Birmingham	(33.5571951048, -86.8777935049)	0107000-01073012401
7.1	4.0	7.7	AL	Birmingham	(33.549984172, -86.8994543327)	0107000-01073012402
7.2	6.7	10.3	AL	Birmingham	(33.529160486, -86.9346476445)	0107000-01073012500
7.9	5.3	9.9	AL	Birmingham	(33.570164674, -86.666430582)	0107000-01073012602
3.7	1.2	2.6	AL	Birmingham	(33.4681180943, -86.6671888213)	0107000-01073012703
7.0	2.3	6.0	AL	Birmingham	(33.5034195908, -86.6180983403)	0107000-01073012704
3.3	0.9	2.0	AL	Birmingham	(33.4439425865, -86.7212936938)	0107000-01073012803
8.1	8.7	12.3	AL	Birmingham	(33.46604181, -86.8567287797)	0107000-01073013002
7.4	7.7	10.8	AL	Birmingham	(33.44880214, -86.8878401579)	0107000-01073013100
7.2	7.6	10.7	AL	Birmingham	(33.4396443569, -86.9248768665)	0107000-01073013300
7.1	5.9	9.1	AL	Birmingham	(33.4729384906, -86.9547337648)	0107000-01073013901
4.4	2.2	3.5	AL	Birmingham	(33.4244658829, -86.8841474217)	0107000-01073014302
5.5	1.5	3.5	AL	Birmingham	(33.4226593117, -86.8508620751)	0107000-01073014413
5.2	1.6	4.0	AL	Birmingham	(33.4395975193, -86.6735959359)	0107000-01117030213
3.0	1.0	2.0	AL	Birmingham	(33.4258661239, -86.713819356)	0107000-01117030303
3.2	1.3	2.2	AL	Hoover	(33.4045161403, -86.7876502287)	0135896-01073012906
7.4	2.5	6.0	AL	Hoover	(33.4026873912, -86.770945069)	0135896-01073012907
6.1	2.7	5.9	AL	Hoover	(33.3984946605, -86.7988914335)	0135896-01073012908
7.8	2.1	5.3	AL	Hoover	(33.418693772, -86.722131839)	0135896-01073012910
3.4	2.1	3.7	AL	Hoover	(33.3839016626, -86.7952291977)	0135896-01073012912
4.8	2.6	4.6	AL	Hoover	(33.373607893, -86.793375026)	0135896-01073012913
6.4	2.1	5.1	AL	Hoover	(33.3128046299, -86.900502008)	0135896-01073014203
5.7	1.8	4.1	AL	Hoover	(33.3391783494, -86.8888460736)	0135896-01073014204
