CANCER_CrudePrev	STROKE_CrudePrev	CHD_CrudePrev	stateabbr	placename	Geolocation	fips_place_tract
5.2	5.6	8.1	AL	Birmingham	(33.57943283260, -86.7228323926)	0107000-01073000100
4.6	5.9	8.3	AL	Birmingham	(33.54282086860, -86.7524339780)	0107000-01073000300
5.2	5.7	8.0	AL	Birmingham	(33.56324496330, -86.7640474064)	0107000-01073000400
5.8	7.7	10.1	AL	Birmingham	(33.54424045940, -86.7749130719)	0107000-01073000500
5.7	9.5	11.4	AL	Birmingham	(33.55254061390, -86.8016893706)	0107000-01073000700
6.5	7.3	10.3	AL	Birmingham	(33.54969778900, -86.8330944744)	0107000-01073000800
6.3	5.2	7.7	AL	Birmingham	(33.54291433250, -86.8756782852)	0107000-01073001100
6.3	6.3	9.0	AL	Birmingham	(33.52787677060, -86.8604161686)	0107000-01073001200
6.8	6.7	9.7	AL	Birmingham	(33.52614972580, -86.8351466060)	0107000-01073001400
5.4	7.3	9.9	AL	Birmingham	(33.52987273420, -86.8197191685)	0107000-01073001500
6.5	7.7	10.7	AL	Birmingham	(33.53729934230, -86.8036590482)	0107000-01073001600
5.1	6.5	8.9	AL	Birmingham	(33.55320509970, -86.7429801603)	0107000-01073001902
5.8	6.7	9.1	AL	Birmingham	(33.55415741060, -86.7167229915)	0107000-01073002000
5.5	5.2	7.7	AL	Birmingham	(33.56500159420, -86.7101024766)	0107000-01073002100
5.2	5.5	7.6	AL	Birmingham	(33.55213012050, -86.7276759508)	0107000-01073002200
4.8	6.5	8.2	AL	Birmingham	(33.53831532070, -86.7270445428)	0107000-01073002303
5.1	2.2	4.3	AL	Birmingham	(33.53334159760, -86.7479566084)	0107000-01073002305
7.2	2.6	5.9	AL	Birmingham	(33.52138735640, -86.7490031289)	0107000-01073002306
4.9	5.5	7.8	AL	Birmingham	(33.52607483090, -86.7830315488)	0107000-01073002400
4.5	4.8	7.3	AL	Birmingham	(33.51760084190, -86.8106887452)	0107000-01073002700
6.2	8.5	11.1	AL	Birmingham	(33.51324988640, -86.8300474900)	0107000-01073002900
4.3	3.8	5.8	AL	Birmingham	(33.51251580940, -86.8577164946)	0107000-01073003001
6.6	8.7	11.1	AL	Birmingham	(33.51225810900, -86.8441439907)	0107000-01073003002
5.3	5.7	8.0	AL	Birmingham	(33.50596557560, -86.8745506086)	0107000-01073003100
5.8	9.2	11.2	AL	Birmingham	(33.50940185020, -86.8859081961)	0107000-01073003200
6.6	7.3	10.4	AL	Birmingham	(33.51712611080, -86.8913819749)	0107000-01073003300
5.3	6.8	9.0	AL	Birmingham	(33.50522292340, -86.9014844656)	0107000-01073003400
5.2	4.9	7.2	AL	Birmingham	(33.50657140110, -86.9195910063)	0107000-01073003500
6.1	5.1	7.5	AL	Birmingham	(33.48476397000, -86.8981392947)	0107000-01073003600
4.8	5.9	7.7	AL	Birmingham	(33.49690185890, -86.8907729426)	0107000-01073003700
5.3	5.1	7.1	AL	Birmingham	(33.47857077940, -86.8900009070)	0107000-01073003802
5.8	5.9	8.2	AL	Birmingham	(33.48594521400, -86.8696921860)	0107000-01073003803
4.7	6.3	8.2	AL	Birmingham	(33.49899593270, -86.8647600038)	0107000-01073003900
6.0	7.3	9.8	AL	Birmingham	(33.49532460150, -86.8516232073)	0107000-01073004000
5.9	7.2	9.9	AL	Birmingham	(33.50074393610, -86.8270720379)	0107000-01073004200
2.2	2.4	3.7	AL	Birmingham	(33.50418575560, -86.8033798346)	0107000-01073004500
6.2	2.4	5.3	AL	Birmingham	(33.50752421480, -86.7836675838)	0107000-01073004701
7.2	2.4	6.0	AL	Birmingham	(33.51199026610, -86.7694550989)	0107000-01073004702
8.0	3.1	7.2	AL	Birmingham	(33.49890640080, -86.7826991400)	0107000-01073004800
5.4	2.4	5.2	AL	Birmingham	(33.49715956450, -86.7917440668)	0107000-01073004901
3.5	2.1	3.9	AL	Birmingham	(33.49358240430, -86.8009294603)	0107000-01073004902
4.0	2.3	4.6	AL	Birmingham	(33.48666897950, -86.8173262831)	0107000-01073005000
5.1	8.1	9.9	AL	Birmingham	(33.49459090080, -86.8347639360)	0107000-01073005101
8.1	7.0	10.3	AL	Birmingham	(33.48571488500, -86.8327817467)	0107000-01073005103
2.8	2.5	3.7	AL	Birmingham	(33.47499418160, -86.8335421747)	0107000-01073005104
6.6	6.3	9.0	AL	Birmingham	(33.48067087750, -86.8508671514)	0107000-01073005200
7.6	3.7	7.5	AL	Birmingham	(33.57664564490, -86.6965590316)	0107000-01073005302
5.8	7.6	10.3	AL	Birmingham	(33.56702938980, -86.8005567213)	0107000-01073005500
9.1	4.1	8.8	AL	Birmingham	(33.52009812340, -86.7272063198)	0107000-01073005600
6.2	5.8	8.2	AL	Birmingham	(33.46295433290, -86.8898406628)	0107000-01073005701
6.8	7.3	10.0	AL	Birmingham	(33.46986913850, -86.8742906020)	0107000-01073005702
3.6	2.3	4.1	AL	Birmingham	(33.47906232500, -86.8128063089)	0107000-01073005800
7.2	4.6	8.3	AL	Birmingham	(33.59716230900, -86.6766736351)	0107000-01073005903
6.4	5.2	8.6	AL	Birmingham	(33.60398845600, -86.7008123418)	0107000-01073005905
6.7	3.5	6.7	AL	Birmingham	(33.61428615010, -86.6691996417)	0107000-01073005907
6.3	5.2	8.5	AL	Birmingham	(33.61829244320, -86.6801483084)	0107000-01073005908
5.3	3.4	5.4	AL	Birmingham	(33.61181177300, -86.7214221514)	0107000-01073005909
4.9	3.5	5.4	AL	Birmingham	(33.62990174990, -86.7194311229)	0107000-01073005910
6.8	8.0	10.9	AL	Birmingham	(33.43637868060, -86.9128923072)	0107000-01073010500
2.8	1.8	2.7	AL	Birmingham	(33.47388615500, -86.8146487762)	0107000-01073010701
3.6	1.7	3.5	AL	Birmingham	(33.44437094420, -86.8405352645)	0107000-01073010706
7.2	2.0	4.7	AL	Birmingham	(33.51409785300, -86.7466971362)	0107000-01073010801
11.0	2.7	7.4	AL	Birmingham	(33.48854934770, -86.7808430240)	0107000-01073010802
5.6	2.4	4.8	AL	Birmingham	(33.52290938920, -86.7102618642)	0107000-01073010803
7.6	3.6	6.3	AL	Birmingham	(33.49527924720, -86.6987184974)	0107000-01073010805
6.3	3.4	6.4	AL	Birmingham	(33.61594364330, -86.6557892507)	0107000-01073011104
4.5	3.3	5.0	AL	Birmingham	(33.67188487060, -86.6772510465)	0107000-01073011207
4.5	3.7	5.5	AL	Birmingham	(33.65571899920, -86.7050698349)	0107000-01073011209
3.4	3.5	4.2	AL	Birmingham	(33.66418937550, -86.6956170686)	0107000-01073011210
5.1	3.8	5.8	AL	Birmingham	(33.62525751730, -86.6998610409)	0107000-01073011803
4.3	3.5	5.2	AL	Birmingham	(33.64749161750, -86.7042974424)	0107000-01073011804
6.7	4.7	7.5	AL	Birmingham	(33.59314018500, -86.7357930541)	0107000-01073011904
10.8	7.8	12.4	AL	Birmingham	(33.59194861120, -86.8643840680)	0107000-01073012001
5.7	2.6	5.6	AL	Birmingham	(33.55428163520, -87.0544691416)	0107000-01073012302
5.6	3.8	5.9	AL	Birmingham	(33.46953580640, -86.9683173900)	0107000-01073012305
5.1	3.3	5.0	AL	Birmingham	(33.55719510480, -86.8777935049)	0107000-01073012401
6.6	4.4	8.1	AL	Birmingham	(33.54998417200, -86.8994543327)	0107000-01073012402
6.7	6.6	10.0	AL	Birmingham	(33.52916048600, -86.9346476445)	0107000-01073012500
7.4	5.6	10.0	AL	Birmingham	(33.57016467400, -86.6664305820)	0107000-01073012602
3.3	1.1	2.5	AL	Birmingham	(33.46811809430, -86.6671888213)	0107000-01073012703
6.4	2.2	5.6	AL	Birmingham	(33.50341959080, -86.6180983403)	0107000-01073012704
2.9	0.9	1.9	AL	Birmingham	(33.44394258650, -86.7212936938)	0107000-01073012803
7.6	8.5	11.8	AL	Birmingham	(33.46604181000, -86.8567287797)	0107000-01073013002
6.8	7.5	10.3	AL	Birmingham	(33.44880214000, -86.8878401579)	0107000-01073013100
6.7	7.7	10.6	AL	Birmingham	(33.43964435690, -86.9248768665)	0107000-01073013300
6.6	5.3	8.3	AL	Birmingham	(33.47293849060, -86.9547337648)	0107000-01073013901
4.0	2.0	3.3	AL	Birmingham	(33.42446588290, -86.8841474217)	0107000-01073014302
5.0	1.4	3.4	AL	Birmingham	(33.42265931170, -86.8508620751)	0107000-01073014413
4.9	1.8	3.9	AL	Birmingham	(33.43959751930, -86.6735959359)	0107000-01117030213
2.8	1.0	2.0	AL	Birmingham	(33.42586612390, -86.7138193560)	0107000-01117030303
2.9	1.2	2.0	AL	Hoover	(33.40451614030, -86.7876502287)	0135896-01073012906
6.8	2.5	5.8	AL	Hoover	(33.40268739120, -86.7709450690)	0135896-01073012907
5.8	2.7	5.8	AL	Hoover	(33.39849466050, -86.7988914335)	0135896-01073012908
7.1	2.0	5.0	AL	Hoover	(33.41869377200, -86.7221318390)	0135896-01073012910
3.2	2.0	3.5	AL	Hoover	(33.38390166260, -86.7952291977)	0135896-01073012912
4.4	2.7	4.7	AL	Hoover	(33.37360789300, -86.7933750260)	0135896-01073012913
5.8	2.1	4.9	AL	Hoover	(33.31280462990, -86.9005020080)	0135896-01073014203
5.2	1.8	3.9	AL	Hoover	(33.33917834940, -86.8888460736)	0135896-01073014204
5.0	1.8	3.9	AL	Hoover	(33.39237928670, -86.8833755105)	0135896-01073014302
6.9	2.3	5.5	AL	Hoover	(33.43121366990, -86.8228782375)	0135896-01073014404
6.2	2.3	5.3	AL	Hoover	(33.42239422110, -86.8292726164)	0135896-01073014405
8.6	2.4	6.4	AL	Hoover	(33.40194561180, -86.8333493253)	0135896-01073014406
5.0	1.9	4.0	AL	Hoover	(33.37149060810, -86.8110962421)	0135896-01073014408
10.4	3.4	8.5	AL	Hoover	(33.39401851920, -86.8147403690)	0135896-01073014409
5.9	1.8	4.4	AL	Hoover	(33.34942080780, -86.8444278718)	0135896-01073014410
7.5	2.1	5.4	AL	Hoover	(33.40198065360, -86.8503435747)	0135896-01073014412
6.8	1.9	4.8	AL	Hoover	(33.37339197610, -86.8534900912)	0135896-01073014413
2.1	1.1	1.8	AL	Hoover	(33.42312540400, -86.6963918322)	0135896-01117030212
7.9	2.3	5.8	AL	Hoover	(33.41742140800, -86.6452578981)	0135896-01117030216
8.2	2.5	6.4	AL	Hoover	(33.43842175830, -86.6382002523)	0135896-01117030217
8.2	2.7	6.7	AL	Hoover	(33.40738919910, -86.7208501712)	0135896-01117030303
7.7	2.3	5.8	AL	Hoover	(33.38462648190, -86.7606477683)	0135896-01117030304
7.5	2.3	5.9	AL	Hoover	(33.35063232470, -86.7740677526)	0135896-01117030305
5.5	2.0	4.5	AL	Hoover	(33.35860193420, -86.7921165874)	0135896-01117030314
11.5	3.8	9.6	AL	Hoover	(33.41398237700, -86.6887566067)	0135896-01117030330
7.8	2.2	5.6	AL	Hoover	(33.34838995280, -86.8194470284)	0135896-01117030333
5.6	1.9	4.3	AL	Hoover	(33.30458725890, -86.8872412717)	0135896-01117030334
8.8	2.9	7.2	AL	Hoover	(33.40999055220, -86.6692093971)	0135896-01117030344
3.6	1.6	2.8	AL	Huntsville	(34.77870377440, -86.7954879957)	0137000-01083020802
4.7	2.2	4.2	AL	Huntsville	(34.65423653370, -86.8340393074)	0137000-01083021200
5.4	7.5	9.6	AL	Huntsville	(34.77415537750, -86.5495493410)	0137000-01089000201
2.6	2.6	4.1	AL	Huntsville	(34.77912474000, -86.5733058245)	0137000-01089000202
6.0	5.0	8.0	AL	Huntsville	(34.78304301590, -86.5898406106)	0137000-01089000301
5.6	5.5	8.0	AL	Huntsville	(34.78232820550, -86.6077359957)	0137000-01089000302
6.1	4.4	7.0	AL	Huntsville	(34.80497616100, -86.6173786791)	0137000-01089000403
6.3	4.4	7.5	AL	Huntsville	(34.77522353720, -86.6353459087)	0137000-01089000501
6.0	5.0	7.7	AL	Huntsville	(34.76793016070, -86.6346783481)	0137000-01089000502
6.0	4.2	7.0	AL	Huntsville	(34.76287823920, -86.6284919984)	0137000-01089000503
6.8	4.3	7.9	AL	Huntsville	(34.75386339770, -86.6345027163)	0137000-01089000601
7.2	5.6	9.5	AL	Huntsville	(34.75471875850, -86.6194210493)	0137000-01089000602
5.8	5.8	8.8	AL	Huntsville	(34.76723497430, -86.6021900616)	0137000-01089000701
9.0	6.5	11.1	AL	Huntsville	(34.75446961230, -86.6028564877)	0137000-01089000702
9.4	3.6	8.8	AL	Huntsville	(34.75967373490, -86.5476195578)	0137000-01089000901
6.6	2.5	5.8	AL	Huntsville	(34.74500239430, -86.5537451839)	0137000-01089000902
6.2	2.8	6.1	AL	Huntsville	(34.74224547430, -86.5731180893)	0137000-01089001000
4.7	7.8	9.4	AL	Huntsville	(34.73384467960, -86.6054015480)	0137000-01089001200
